defense_personnel,total_plays,avg_xoe,total_explosives,avg_pred
"4 DL, 0 LB, 7 DB",21,0.6041239911601657,2,0.49111410407792955
"1 DL, 4 LB, 6 DB",602,0.6703037248423132,112,0.5157427867855938
"2 DL, 3 LB, 6 DB",2002,0.6870506275017243,418,0.5217405812894845
"1 DL, 3 LB, 7 DB",103,0.6875461559851193,25,0.5551722906168225
"3 DL, 2 LB, 6 DB",1196,0.6930214447533107,249,0.5151725351797997
"3 DL, 3 LB, 5 DB",6044,0.694049197347116,1000,0.47140414481039555
"4 DL, 1 LB, 6 DB",1323,0.6988248333436291,262,0.49920993611971176
"4 DL, 2 LB, 5 DB",12229,0.7040279091601087,2003,0.4597630794734672
NA,932,0.710888133540174,141,0.4403994201078947
"1 DL, 5 LB, 5 DB",319,0.7123628197045162,71,0.5102077132108443
"0 DL, 5 LB, 6 DB",28,0.7149346002510616,5,0.463636828320367
"2 DL, 4 LB, 5 DB",6009,0.7167235997685737,1081,0.4631732216659412
"2 DL, 2 LB, 7 DB",95,0.7229540650781833,23,0.5191511980797116
"5 DL, 2 LB, 4 DB",449,0.7404784986496237,73,0.42210502028133395
"4 DL, 3 LB, 4 DB",6376,0.7408308441209673,934,0.4056559814750176
"3 DL, 1 LB, 7 DB",99,0.7449566220695322,20,0.4570635799506698
"3 DL, 4 LB, 4 DB",4845,0.745920598119405,728,0.4043373998166115
"2 DL, 5 LB, 4 DB",145,0.7723044179636857,26,0.4070059268639005
"3 DL, 5 LB, 3 DB",97,0.7798452939569336,9,0.3129382111977056
"5 DL, 1 LB, 5 DB",143,0.805854201942057,24,0.3619779658901108
"4 DL, 4 LB, 3 DB",207,0.8549914547210731,21,0.24645782064124583
"5 DL, 4 LB, 2 DB",64,0.9243599148467183,0,0.07564008515328169
"5 DL, 3 LB, 3 DB",121,0.9380738417471736,8,0.12804186073216525
"6 DL, 4 LB, 1 DB",42,0.9738191777751559,0,0.02618082222484407
"6 DL, 3 LB, 2 DB",49,0.9782811537080881,0,0.021718846291911845
"6 DL, 2 LB, 3 DB",38,0.9805867068077389,3,0.09836066161331378
"4 DL, 5 LB, 2 DB",23,1.0142362584238467,1,0.029242002445718517
