player_short,position
A.Abdullah,RB
A.Adams,DB
A.Adeoye,LB
A.Akingbulu,OL
A.Al-Shaair,LB
A.Alexander,DB
A.Allen,DB
A.Alufohai,DL
A.Amos,DB
A.Anderson,DL
A.Andrews,RB
A.Ankrah,LB
A.Anthony,LB
A.Anzalone,LB
A.Arcuri,OL
A.Armah,RB
A.Armstead,DL
A.Armstrong,LB
A.Aruna,DL
A.Auclair,TE
A.Averett,DB
A.Ayers,LB
A.Baccellia,WR
A.Bachman,WR
A.Bailey,DL
A.Balducci,OL
A.Ball,DB
A.Banjo,DB
A.Banks,OL
A.Barbre,OL
A.Barnard,K
A.Barnes,DB
A.Barno,DL
A.Barr,LB
A.Barrett,DL
A.Bars,OL
A.Bazzie,LB
A.Beck,TE
A.Beecham,OL
A.Bellard,OL
A.Bello,LB
A.Benn,WR
A.Benton,LB
A.Bergstrom,OL
A.Bethea,DB
A.Bighill,LB
A.Bilal,LB
A.Billings,DL
A.Bisnowaty,OL
A.Blackson,DL
A.Bledsoe,DL
A.Bloom,TE
A.Blount,LB
A.Blue,RB
A.Blythe,OL
A.Boldin,WR
A.Boone,OL
A.Booth,DB
A.Bouye,DB
A.Bradshaw,RB
A.Branch,DL
A.Brewer,LS
A.Brooks,DB
A.Brooks-James,RB
A.Brown,WR
A.Bryant,DL
A.Burbridge,WR
A.Burns,DB
A.Butler,DL
A.Byers,DL
A.Caldwell,WR
A.Calitro,LB
A.Callaway,WR
A.Cann,OL
A.Cappa,OL
A.Carlisle,WR
A.Carr,WR
A.Carrington,DL
A.Carter,DB
A.Castonzo,OL
A.Chachere,DB
A.Chesley,DB
A.Chickillo,LB
A.Chisum,WR
A.Choice,RB
A.Cioffi,DB
A.Cisco,DB
A.Clayborn,DL
A.Cleveland,TE
A.Colbert,DB
A.Cole,P
A.Coleman,DB
A.Collins,OL
A.Colquhoun,DB
A.Colvin,DB
A.Cooper,WR
A.Corbett,OL
A.Coyle,OL
A.Crawford,DL
A.Cromartie,DB
A.Cross,RB
A.Crosswell,DB
A.Cruz,WR
A.Cutting,LS
A.Dable,WR
A.Dalton,QB
A.Daramy-Swaray,DB
A.Darboh,WR
A.Darby,DB
A.Davis,DB
A.Davis-Gaither,LB
A.DePaola,LS
A.Debose,WR
A.Deculus,OL
A.Denham,TE
A.Dent,LB
A.Derby,TE
A.Dillard,OL
A.Dillon,RB
A.Dobson,WR
A.Donald,DL
A.Donkor,LB
A.Donnal,OL
A.Dowell,LB
A.Draughn,DB
A.Duke,WR
A.Dulin,WR
A.Dupree,LB
A.Ealy,OL
A.East,LS
A.Ebiketie,LB
A.Edwards,DL
A.Ekeler,RB
A.Ellington,RB
A.Elliott,DB
A.Ellis,TE
A.Epenesa,DL
A.Epps,OL
A.Erickson,WR
A.Etta-Tawo,WR
A.Evans,DB
A.Everett,OL
A.Exford,DB
A.Exum,DB
A.Fabiano,OL
A.Faoliu,DL
A.Fasano,TE
A.Fayad,DL
A.Firkser,TE
A.Fleer,OL
A.Forbes,OL
A.Fort,TE
A.Foster,RB
A.Francis,DL
A.Franks,K
A.Fua,LB
A.Fuehne,TE
A.Fuller,WR
A.Gachkar,LB
A.Gallik,OL
A.Gandy-Golden,WR
A.Garcia,OL
A.Gardner,OL
A.Gates,TE
A.Gearing,LB
A.Gennesy,OL
A.Gentry,WR
A.Gettis,OL
A.Gibson,RB
A.Gilman,DB
A.Glanton,LB
