offense_personnel,total_plays,avg_xoe,total_explosives,avg_pred
"1 RB, 2 TE, 1 WR,1 DL",34,1.0065701288335465,7,0.1993122241076301
"2 RB, 2 TE, 0 WR,1 DB",25,0.9916019010543823,0,0.008398098945617676
"6 OL, 1 RB, 3 TE, 0 WR",58,0.9706062623139086,1,0.046635116996436285
"2 RB, 3 TE, 0 WR",81,0.9640002471429331,2,0.060691110881758326
"0 RB, 0 TE, 5 WR",35,0.9545608988830021,7,0.24543910111699785
"6 OL, 2 RB, 2 TE, 0 WR",157,0.9277613804598522,2,0.08497747304333243
"0 RB, 3 TE, 2 WR",24,0.89978838711977,4,0.26687827954689664
"1 RB, 1 TE, 2 WR,1 LB",21,0.839554800873711,5,0.3985404372215271
"2 QB, 1 RB, 1 TE, 2 WR",101,0.8290568419022135,21,0.3788639501769944
"6 OL, 2 RB, 1 TE, 1 WR",248,0.8253419664237769,24,0.27143222712461024
"2 RB, 2 TE, 1 WR",1235,0.8092522929916498,146,0.3089663304901316
"6 OL, 1 RB, 2 TE, 1 WR",495,0.7919230446369961,57,0.32322847051451903
"1 RB, 3 TE, 1 WR",1600,0.7775308243371546,207,0.35184417566284537
"6 OL, 1 RB, 1 TE, 2 WR",484,0.7763063319889475,83,0.39518127131683767
"2 RB, 0 TE, 3 WR",352,0.747168326919729,62,0.4289680367166346
"6 OL, 1 RB, 0 TE, 3 WR",75,0.7232770107189814,9,0.39672298928101857
"1 RB, 2 TE, 2 WR",8137,0.7205295473762031,1290,0.43800553926506514
"2 RB, 1 TE, 2 WR",3248,0.7130524046751189,572,0.46305596970911755
NA,932,0.710888133540174,141,0.4403994201078947
"0 RB, 1 TE, 4 WR",297,0.7012712355916347,48,0.46034492602452687
"1 RB, 0 TE, 4 WR",660,0.6999486969953234,122,0.4848997878531615
"1 RB, 1 TE, 3 WR",24957,0.6994102581066393,4395,0.4766926388761712
"0 RB, 2 TE, 3 WR",142,0.6860696401604465,25,0.4899866978677226
"3 RB, 1 TE, 1 WR",38,0.6588122601571836,4,0.44645089773755325
"6 OL, 2 RB, 0 TE, 2 WR",63,0.6119022934682785,6,0.48333580176981666
