posteam,total_plays,avg_xoe,total_explosives,avg_pred
TEN,1323,0.7471299399583068,243,0.43654352942944835
SF,1336,0.7369433676009763,256,0.45467339886608954
PHI,1394,0.7338452759055872,233,0.4332996308375978
CIN,1308,0.7314242740084819,218,0.4352423926581848
SEA,1331,0.7302571421476525,236,0.4470531508651199
MIN,1344,0.7298487793055496,241,0.4494666968849266
LAC,1432,0.7290195999615019,265,0.4560362659602858
BAL,1398,0.7271127242046024,233,0.43955394246206436
KC,1386,0.7264377172891195,261,0.4618739710225687
LV,1339,0.7251120930491676,225,0.4429237545983305
ARI,1417,0.7216199578516233,235,0.4442233731293224
ATL,1336,0.7211367939347904,259,0.4727254815143115
BUF,1386,0.7205334160299528,232,0.44685475135821456
NE,1334,0.719835149272271,229,0.45182901864377095
DAL,1426,0.7192627567102999,242,0.4504427131354224
NO,1387,0.7179640407775406,229,0.44714050139982064
DEN,1384,0.7165710824740932,224,0.44527862850856575
PIT,1409,0.7162304411783043,222,0.44132811098635155
CAR,1400,0.71597845575107,228,0.4468786871060729
NYJ,1337,0.7142139162893338,206,0.43986237391261085
LA,1418,0.7137450705189127,235,0.451981304657392
GB,1345,0.7091390042389193,221,0.4551732634190733
CHI,1311,0.7087803983920226,201,0.44453767941118105
MIA,1313,0.7077686535726497,197,0.44226942715850026
DET,1372,0.705511792299525,224,0.45775351382292395
WAS,1332,0.7042111579004351,188,0.4369299832407061
NYG,1384,0.7039839077008769,209,0.44702765299276465
CLE,1353,0.7037583496215074,215,0.45514778489438323
IND,1434,0.7006958870157454,223,0.4548131785351612
HOU,1343,0.6982315428116742,204,0.45366719136554096
TB,1472,0.6971408611406451,246,0.46997870407674625
JAX,1349,0.6946533468446305,201,0.4543459118655251
